Field ID RA DEC X_r Y_r s2n_r_psf s2n_J0660_psf s2n_i_psf CLASS_STAR_r CLASS_STAR_i u_psf J0378_psf J0395_psf J0410_psf J0430_psf g_psf J0515_psf r_psf J0660_psf i_psf J0861_psf z_psf e_u_psf e_J0378_psf e_J0395_psf e_J0410_psf e_J0430_psf e_g_psf e_J0515_psf e_r_psf e_J0660_psf e_i_psf e_J0861_psf e_z_psf
MC0104 iDR4_3_MC0104_0006565 57.539554595947266 -72.50218200683594 5969.330078125 3649.72998046875 23.042552947998047 30.94285774230957 18.049999237060547 1 1 99.0 99.0 99.0 99.0 99.0 19.81918716430664 19.78118896484375 19.420082092285156 18.99308204650879 19.30210304260254 19.16213035583496 19.240131378173828 99.0 99.0 99.0 99.0 99.0 0.05400000140070915 0.09300000220537186 0.04699999839067459 0.03500000014901161 0.05999999865889549 0.09099999815225601 0.10700000077486038
MC0123 iDR4_3_MC0123_0008523 53.593788146972656 -73.54412841796875 2740.75 4926.3798828125 23.042552947998047 25.186046600341797 15.253520965576172 1 1 20.213590621948242 99.0 99.0 19.577260971069336 19.278261184692383 19.71626091003418 19.638261795043945 19.445383071899414 19.02738380432129 19.32427406311035 19.27805519104004 19.27205467224121 0.09399999678134918 99.0 99.0 0.10999999940395355 0.0860000029206276 0.05000000074505806 0.07999999821186066 0.04699999839067459 0.0430000014603138 0.07100000232458115 0.14100000262260437 0.1289999932050705
MC0123 iDR4_3_MC0123_0008651 49.4806022644043 -73.52427673339844 10371.5 4983.740234375 18.049999237060547 34.935482025146484 11.77173900604248 1 1 19.47907829284668 19.349079132080078 19.14107894897461 19.509096145629883 19.57709503173828 19.647096633911133 19.794095993041992 19.540233612060547 18.67923355102539 19.527254104614258 99.0 19.545082092285156 0.054999999701976776 0.0820000022649765 0.0860000029206276 0.10599999874830246 0.11299999803304672 0.04600000008940697 0.09300000220537186 0.05999999865889549 0.03099999949336052 0.09200000017881393 99.0 0.16500000655651093
MC0121 iDR4_3_MC0121_0012119 42.231868743896484 -72.92655944824219 6268.66015625 9000.6103515625 19.0 23.042552947998047 13.370369911193848 1 1 20.4433650970459 20.260364532470703 99.0 99.0 99.0 20.263317108154297 99.0 19.762592315673828 19.381591796875 19.726701736450195 99.0 19.686405181884766 0.10499999672174454 0.11299999803304672 99.0 99.0 99.0 0.06700000166893005 99.0 0.05700000002980232 0.04699999839067459 0.08100000023841858 99.0 0.13300000131130219
MC0103 iDR4_3_MC0103_0007914 54.11764144897461 -72.37507629394531 3946.139892578125 4472.490234375 21.235294342041016 23.042552947998047 13.370369911193848 1 1 99.0 99.0 99.0 99.0 99.0 20.23643684387207 20.246437072753906 19.769243240356445 19.407243728637695 19.78124237060547 99.0 99.0 99.0 99.0 99.0 99.0 99.0 0.06499999761581421 0.11900000274181366 0.050999999046325684 0.04699999839067459 0.08100000023841858 99.0 99.0
MC0079 iDR4_3_MC0079_0000943 45.56486892700195 -71.40000915527344 6506.06005859375 2663.659912109375 22.102041244506836 23.54347801208496 14.25 1 1 20.280414581298828 19.700414657592773 20.21741485595703 99.0 99.0 20.366756439208984 20.34175682067871 19.751779556274414 19.369779586791992 19.832042694091797 19.892786026000977 19.929786682128906 0.08500000089406967 0.07500000298023224 0.12399999797344208 99.0 99.0 0.06599999964237213 0.09700000286102295 0.04899999871850014 0.04600000008940697 0.07599999755620956 0.15299999713897705 0.164000004529953
MC0053 iDR4_3_MC0053_0010479 36.6156120300293 -69.75491333007812 3210.199951171875 5158.35009765625 20.05555534362793 21.235294342041016 12.448275566101074 1 1 20.28833770751953 20.05533790588379 20.144338607788086 20.476675033569336 20.182674407958984 20.228673934936523 20.337675094604492 19.94136619567871 19.58836555480957 19.97492218017578 19.955917358398438 19.950916290283203 0.10599999874830246 0.09600000083446503 0.12800000607967377 0.1459999978542328 0.12999999523162842 0.06199999898672104 0.11599999666213989 0.05400000140070915 0.050999999046325684 0.08699999749660492 0.12999999523162842 0.13600000739097595
MC0062 iDR4_3_MC0062_0028316 69.28010559082031 -69.54983520507812 9910.76953125 6450.10986328125 108.30000305175781 108.30000305175781 67.6875 1 1 15.872187614440918 15.79622745513916 15.724227905273438 15.879441261291504 15.911260604858398 16.090930938720703 16.054931640625 16.162948608398438 15.90894889831543 16.246742248535156 16.435483932495117 16.454483032226562 0.009999999776482582 0.009999999776482582 0.014000000432133675 0.013000000268220901 0.014000000432133675 0.00800000037997961 0.012000000104308128 0.009999999776482582 0.009999999776482582 0.01600000075995922 0.023000000044703484 0.027000000700354576
MC0139 iDR4_3_MC0139_0022568 37.508785247802734 -74.54354095458984 2868.800048828125 6441.89013671875 135.375 108.30000305175781 77.35713958740234 1 1 15.6970853805542 15.649085998535156 15.6030855178833 15.65849494934082 15.719494819641113 15.873494148254395 15.888494491577148 16.023223876953125 15.863224983215332 16.22480583190918 16.40943717956543 16.428436279296875 0.008999999612569809 0.009999999776482582 0.013000000268220901 0.009999999776482582 0.012000000104308128 0.006000000052154064 0.010999999940395355 0.00800000037997961 0.009999999776482582 0.014000000432133675 0.01899999938905239 0.017000000923871994
MC0098 iDR4_3_MC0098_0014257 30.59601402282715 -71.67740631103516 6560.43994140625 9044.7998046875 60.16666793823242 72.19999694824219 54.150001525878906 1 1 16.140087127685547 15.821087837219238 15.744087219238281 15.761202812194824 15.795202255249023 15.955202102661133 15.96020221710205 16.134477615356445 15.98947811126709 16.382265090942383 16.57314682006836 16.58014678955078 0.012000000104308128 0.01600000075995922 0.014999999664723873 0.014999999664723873 0.01600000075995922 0.01600000075995922 0.014999999664723873 0.017999999225139618 0.014999999664723873 0.019999999552965164 0.023000000044703484 0.02500000037252903
MC0137 iDR4_3_MC0137_0017987 24.21562385559082 -74.73171997070312 8083.47021484375 5210.93994140625 120.33333587646484 154.7142791748047 90.25 1 1 16.51816177368164 16.262161254882812 16.218162536621094 16.19223976135254 16.21424102783203 16.370241165161133 16.38524055480957 16.422801971435547 15.9068021774292 16.627687454223633 16.731643676757812 16.74164390563965 0.009999999776482582 0.010999999940395355 0.014000000432133675 0.013000000268220901 0.013000000268220901 0.00800000037997961 0.009999999776482582 0.008999999612569809 0.007000000216066837 0.012000000104308128 0.020999999716877937 0.02500000037252903
MC0125 iDR4_3_MC0125_0023561 60.167686462402344 -73.2766342163086 8158.3701171875 6680.31005859375 36.099998474121094 57.0 36.099998474121094 1 1 16.963144302368164 16.92158317565918 16.834583282470703 16.91669464111328 16.903181076049805 17.038694381713867 17.0031795501709 17.062116622924805 16.783708572387695 17.160030364990234 17.345129013061523 17.383129119873047 0.01899999938905239 0.023000000044703484 0.024000000208616257 0.026000000536441803 0.024000000208616257 0.02199999988079071 0.02800000086426735 0.029999999329447746 0.01899999938905239 0.029999999329447746 0.03999999910593033 0.03400000184774399
MC0121 iDR4_3_MC0121_0005515 43.48139572143555 -73.7499771118164 3943.989990234375 3602.330078125 108.30000305175781 108.30000305175781 57.0 1 1 16.91376495361328 16.679765701293945 16.580764770507812 16.596540451049805 16.621540069580078 16.769540786743164 16.805540084838867 16.937143325805664 16.77814292907715 17.154605865478516 17.343488693237305 17.321489334106445 0.012000000104308128 0.014999999664723873 0.014000000432133675 0.014999999664723873 0.014000000432133675 0.008999999612569809 0.01600000075995922 0.009999999776482582 0.009999999776482582 0.01899999938905239 0.03400000184774399 0.032999999821186066
