Field,ID,RA_r,DEC_r,X_r,Y_r,s2n_r_psf,s2n_J0660_psf,s2n_i_psf,CLASS_STAR_r,CLASS_STAR_i,u_psf,J0378_psf,J0395_psf,J0410_psf,J0430_psf,g_psf,J0515_psf,r_psf,J0660_psf,i_psf,J0861_psf,z_psf,e_u_psf,e_J0378_psf,e_J0395_psf,e_J0410_psf,e_J0430_psf,e_g_psf,e_J0515_psf,e_r_psf,e_J0660_psf,e_i_psf,e_J0861_psf,e_z_psf,Name
b'MC0115',b'iDR4_3_MC0115_0084546',11.748524,-72.821304,10259.29,9594.45,36.1,77.35714,19.690908,1,1,17.801558,17.664198,17.433197,17.98594,17.67326,16.69123,18.392231,17.23479,15.196791,18.300213,18.584324,18.515326,0.04,0.05,0.059,0.074,0.057,0.018,0.069,0.03,0.014,0.055,0.108,0.071,LHA_115-N_18
b'MC0115',b'iDR4_3_MC0115_0441966',16.213379,-73.08937,1687.69,7873.67,10.216981,25.186047,99.0,1,99,99.0,99.0,99.0,99.0,99.0,19.583855,99.0,19.622776,17.805777,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.088,99.0,0.106,0.043,99.0,99.0,99.0,MGPN_SMC_10
b'MC0115',b'iDR4_3_MC0115_0620721',12.337664,-73.882965,8903.16,2689.48,30.942858,99.0,99.0,1,99,99.0,99.0,99.0,99.0,99.0,99.0,18.23604,17.900572,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.067,0.035,99.0,99.0,99.0,99.0,SMP_SMC_12
b'MC0115',b'iDR4_3_MC0115_0654421',12.397653,-73.442696,8881.6,5573.43,11.164948,12.593023,13.207317,1,1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,19.524637,19.511637,19.413834,19.551672,19.154673,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.097,0.086,0.082,0.15,0.137,[JD2002]_7
b'MC0115',b'iDR4_3_MC0115_0667008',16.074564,-73.36426,2007.99,6083.68,30.083334,99.0,12.892858,1,1,99.0,99.0,99.0,99.0,19.06241,18.17338,19.21338,17.889437,99.0,18.966688,18.980474,18.874475,99.0,99.0,99.0,99.0,0.132,0.04,0.124,0.036,99.0,0.084,0.13,0.114,LIN_430
b'MC0115',b'iDR4_3_MC0115_0671498',12.992196,-73.34207,7786.33,6260.07,57.0,99.0,99.0,1,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,16.209866,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.019,99.0,99.0,99.0,99.0,LHA_115-N_47
b'MC0115',b'iDR4_3_MC0115_0697490',12.782499,-73.201805,8201.64,7169.21,17.754099,99.0,23.543478,1,1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,18.045345,99.0,17.766727,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.061,99.0,0.046,99.0,99.0,[JD2002]_12
b'MC0115',b'iDR4_3_MC0115_0701272',12.514073,-73.18033,8713.26,7296.52,24.066668,99.0,99.0,1,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,17.837637,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.045,99.0,99.0,99.0,99.0,[JD2002]_9
b'MC0115',b'iDR4_3_MC0115_0728445',12.284252,-73.03996,9177.99,8201.68,9.336206,99.0,99.0,1,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,18.825066,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.116,99.0,99.0,99.0,99.0,[JD2002]_6
b'MC0115',b'iDR4_3_MC0115_0742668',12.152071,-72.9669,9446.73,8671.28,20.055555,99.0,99.0,0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,16.614876,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.054,99.0,99.0,99.0,99.0,LHA_115-N_29
